what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems encountered during text search.",1335269578522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335269578542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335269581115
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335269582509
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1335269585302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1335269586955
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335269587300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335269590140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335269592456
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1335269592465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335269592752
error,log,,,"Core exception while retrieving the content description",1335269593619
error,log,,,"Core exception while retrieving the content description",1335269593631
error,log,,,"Core exception while retrieving the content description",1335269593648
error,log,,,"Core exception while retrieving the content description",1335269593673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335269593717
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1335269596336
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335269599965
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1335269604633
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1335269605029
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1335269605271
error,log,,,"Core exception while retrieving the content description",1335269605657
error,log,,,"Core exception while retrieving the content description",1335269605680
error,log,,,"Core exception while retrieving the content description",1335269605688
error,log,,,"Core exception while retrieving the content description",1335269605704
error,log,,,"Core exception while retrieving the content description",1335269605738
error,log,,,"Core exception while retrieving the content description",1335269605819
error,log,,,"Core exception while retrieving the content description",1335269605826
error,log,,,"Core exception while retrieving the content description",1335269605847
error,log,,,"Core exception while retrieving the content description",1335269605855
error,log,,,"Core exception while retrieving the content description",1335269605875
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335269608234
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1335269609061
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335269610406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.linkWithEditor",1335269610847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335269613581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335269710210
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1335269710249
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1335269711390
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335269711625
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335269713695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335269715567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335269730829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1335269730882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335269736821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335269769195
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1335269769207
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1335269769559
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1335269769703
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335269772662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335269774510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335269789760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1335269789780
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1335269790806
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335269797232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335269798797
started,bundle,org.eclipse.wst.validation.ui,1.2.300.v201201050300,"org.eclipse.wst.validation.ui",1335269937720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335269956161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1335269956295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335269959173
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1335269967474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335269969014
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1335269969038
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1335269979014
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335269985649
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335269985799
error,log,,,"Core exception while retrieving the content description",1335269985993
error,log,,,"Core exception while retrieving the content description",1335269986017
error,log,,,"Core exception while retrieving the content description",1335269986026
error,log,,,"Core exception while retrieving the content description",1335269986034
